location,station_id,metric,target_date,target_datetime,forecast_issued_at,forecast_mean,actual_value,unit,forecast_source,forecast_model,actual_source,source_location_name,latitude,longitude,timezone,horizon_hours,notes
Milan,LIMC,high_temperature,2026-04-01,2026-04-01T12:00:00+00:00,2026-04-01T00:00:00+00:00,21.06,21.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T00:00:00+00:00,21.32,22.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T12:00:00+00:00,21.38,22.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-01T12:00:00+00:00,21.44,22.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-02T00:00:00+00:00,21.26,22.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T00:00:00+00:00,21.52,22.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T12:00:00+00:00,21.58,22.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-02T12:00:00+00:00,21.64,22.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-03T00:00:00+00:00,21.46,22.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T00:00:00+00:00,21.72,22.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T12:00:00+00:00,21.78,22.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-03T12:00:00+00:00,21.84,22.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-04T00:00:00+00:00,21.66,22.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-05,2026-04-05T00:00:00+00:00,2026-04-04T00:00:00+00:00,21.92,22.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-05,2026-04-05T00:00:00+00:00,2026-04-04T12:00:00+00:00,21.98,22.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-05,2026-04-05T12:00:00+00:00,2026-04-04T12:00:00+00:00,22.04,22.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-05,2026-04-05T12:00:00+00:00,2026-04-05T00:00:00+00:00,21.86,22.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-06,2026-04-06T00:00:00+00:00,2026-04-05T00:00:00+00:00,22.12,22.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-06,2026-04-06T00:00:00+00:00,2026-04-05T12:00:00+00:00,22.18,22.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-06,2026-04-06T12:00:00+00:00,2026-04-05T12:00:00+00:00,22.24,22.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-06,2026-04-06T12:00:00+00:00,2026-04-06T00:00:00+00:00,22.06,22.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-07,2026-04-07T00:00:00+00:00,2026-04-06T00:00:00+00:00,22.32,23.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-07,2026-04-07T00:00:00+00:00,2026-04-06T12:00:00+00:00,22.38,23.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-07,2026-04-07T12:00:00+00:00,2026-04-06T12:00:00+00:00,22.44,23.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-07,2026-04-07T12:00:00+00:00,2026-04-07T00:00:00+00:00,22.26,23.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-08,2026-04-08T00:00:00+00:00,2026-04-07T00:00:00+00:00,22.52,23.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-08,2026-04-08T00:00:00+00:00,2026-04-07T12:00:00+00:00,22.58,23.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-04-08,2026-04-08T12:00:00+00:00,2026-04-07T12:00:00+00:00,22.64,23.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-01,2026-04-01T12:00:00+00:00,2026-04-01T00:00:00+00:00,25.06,25.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T00:00:00+00:00,25.32,26.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T12:00:00+00:00,25.38,26.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-01T12:00:00+00:00,25.44,26.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-02T00:00:00+00:00,25.26,26.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T00:00:00+00:00,25.52,26.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T12:00:00+00:00,25.58,26.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-02T12:00:00+00:00,25.64,26.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-03T00:00:00+00:00,25.46,26.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T00:00:00+00:00,25.72,26.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T12:00:00+00:00,25.78,26.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-03T12:00:00+00:00,25.84,26.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-04T00:00:00+00:00,25.66,26.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-05,2026-04-05T00:00:00+00:00,2026-04-04T00:00:00+00:00,25.92,26.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-05,2026-04-05T00:00:00+00:00,2026-04-04T12:00:00+00:00,25.98,26.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-05,2026-04-05T12:00:00+00:00,2026-04-04T12:00:00+00:00,26.04,26.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-05,2026-04-05T12:00:00+00:00,2026-04-05T00:00:00+00:00,25.86,26.7,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-06,2026-04-06T00:00:00+00:00,2026-04-05T00:00:00+00:00,26.12,26.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-06,2026-04-06T00:00:00+00:00,2026-04-05T12:00:00+00:00,26.18,26.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-06,2026-04-06T12:00:00+00:00,2026-04-05T12:00:00+00:00,26.24,26.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-06,2026-04-06T12:00:00+00:00,2026-04-06T00:00:00+00:00,26.06,26.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-07,2026-04-07T00:00:00+00:00,2026-04-06T00:00:00+00:00,26.32,27.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-07,2026-04-07T00:00:00+00:00,2026-04-06T12:00:00+00:00,26.38,27.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-07,2026-04-07T12:00:00+00:00,2026-04-06T12:00:00+00:00,26.44,27.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-07,2026-04-07T12:00:00+00:00,2026-04-07T00:00:00+00:00,26.26,27.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-08,2026-04-08T00:00:00+00:00,2026-04-07T00:00:00+00:00,26.52,27.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-08,2026-04-08T00:00:00+00:00,2026-04-07T12:00:00+00:00,26.58,27.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,12.0,target_datetime_from_forecast_issue_plus_horizon
Sao Paulo,,high_temperature,2026-04-08,2026-04-08T12:00:00+00:00,2026-04-07T12:00:00+00:00,26.64,27.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Sao Paulo city centroid,-23.5505,-46.6333,America/Sao_Paulo,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-01,2026-04-01T12:00:00+00:00,2026-04-01T00:00:00+00:00,18.06,18.9,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T00:00:00+00:00,18.32,19.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T00:00:00+00:00,2026-04-01T12:00:00+00:00,18.38,19.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-01T12:00:00+00:00,18.44,19.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-02,2026-04-02T12:00:00+00:00,2026-04-02T00:00:00+00:00,18.26,19.1,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T00:00:00+00:00,18.52,19.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T00:00:00+00:00,2026-04-02T12:00:00+00:00,18.58,19.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-02T12:00:00+00:00,18.64,19.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-03,2026-04-03T12:00:00+00:00,2026-04-03T00:00:00+00:00,18.46,19.3,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T00:00:00+00:00,18.72,19.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-04,2026-04-04T00:00:00+00:00,2026-04-03T12:00:00+00:00,18.78,19.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-03T12:00:00+00:00,18.84,19.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,24.0,target_datetime_from_forecast_issue_plus_horizon
Paris,,high_temperature,2026-04-04,2026-04-04T12:00:00+00:00,2026-04-04T00:00:00+00:00,18.66,19.5,C,open_meteo,open_meteo_mock_historical_forecast,open_meteo_archive,Paris city centroid,48.8566,2.3522,Europe/Paris,12.0,target_datetime_from_forecast_issue_plus_horizon
