location,station_id,metric,target_date,target_datetime,forecast_issued_at,forecast_mean,actual_value,unit,forecast_source,forecast_model,actual_source,source_location_name,latitude,longitude,timezone,horizon_hours,notes
Milan,LIMC,high_temperature,2026-03-01,2026-03-01T12:00:00+00:00,2026-03-01T00:00:00+00:00,12.0,12.2,C,open_meteo,1.0852813720703125,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-02,2026-03-02T00:00:00+00:00,2026-03-01T00:00:00+00:00,11.8,12.4,C,open_meteo,0.9968280792236328,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-03,2026-03-03T00:00:00+00:00,2026-03-01T00:00:00+00:00,14.8,14.4,C,open_meteo,0.03230571746826172,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,48.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-02,2026-03-02T00:00:00+00:00,2026-03-01T12:00:00+00:00,11.8,12.4,C,open_meteo,0.41162967681884766,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-02,2026-03-02T12:00:00+00:00,2026-03-01T12:00:00+00:00,11.8,12.4,C,open_meteo,0.07271766662597656,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-03,2026-03-03T12:00:00+00:00,2026-03-01T12:00:00+00:00,14.8,14.4,C,open_meteo,0.04589557647705078,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,48.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-02,2026-03-02T12:00:00+00:00,2026-03-02T00:00:00+00:00,11.8,12.4,C,open_meteo,0.2980232238769531,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-03,2026-03-03T00:00:00+00:00,2026-03-02T00:00:00+00:00,14.8,14.4,C,open_meteo,0.03898143768310547,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-04,2026-03-04T00:00:00+00:00,2026-03-02T00:00:00+00:00,14.7,14.6,C,open_meteo,0.1207590103149414,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,48.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-03,2026-03-03T00:00:00+00:00,2026-03-02T12:00:00+00:00,14.8,14.4,C,open_meteo,0.0400543212890625,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,12.0,target_datetime_from_forecast_issue_plus_horizon
Milan,LIMC,high_temperature,2026-03-03,2026-03-03T12:00:00+00:00,2026-03-02T12:00:00+00:00,14.8,14.4,C,open_meteo,0.0978708267211914,open_meteo_archive,Malpensa Intl Airport Station,45.6306,8.7281,Europe/Rome,24.0,target_datetime_from_forecast_issue_plus_horizon
